,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,1stcase,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
0,USA,133094,"+9,516",2363.0,+143,4378.0,126353,2948.0,402.0,7.0,Jan 20,331003000.0,37.09024,-95.712891,0.04020930323894345,3.289404481043473,94.93515860970442,1.7754369092521076
1,Italy,97689,"+5,217",10779.0,+756,13030.0,73880,3906.0,1616.0,178.0,Jan 29,60462000.0,41.87194,12.56738,0.16157090403890048,13.338246885524471,75.6277574752531,11.03399563922243
2,Spain,78799,"+5,564",6606.0,+624,14709.0,57484,4165.0,1685.0,141.0,Jan 30,46755000.0,40.463667,-3.7492199999999998,0.16853598545610096,18.666480539093136,72.95016434218708,8.38335511871978
3,Germany,60659,"+2,964",482.0,+49,9211.0,50966,1979.0,724.0,6.0,Jan 26,83784000.0,51.165690999999995,10.451526,0.0723992647760909,15.184886002077185,84.02050808618672,0.7946059117360985
4,France,40174,"+2,599",2606.0,+292,7202.0,30366,4632.0,615.0,40.0,Jan 23,65274000.0,46.227638,2.213749,0.061546710788369034,17.92701747398815,75.58620002987007,6.4867824961417835
5,Iran,38309,"+2,901",2640.0,+123,12391.0,23278,3206.0,456.0,31.0,Feb 18,83993000.0,32.427908,53.68804599999999,0.04560975319371852,32.34487979326007,60.76378918791929,6.891331018820643
6,UK,19522,"+2,433",1228.0,+209,135.0,18159,163.0,288.0,18.0,Jan 30,67886000.0,55.378051,-3.435973,0.028757033850867628,0.6915275074275177,93.01813338797254,6.290339104599939
7,Switzerland,14829,+753,300.0,+36,1595.0,12934,301.0,1713.0,35.0,Feb 24,8655000.0,46.818188,8.227511999999999,0.17133448873483537,10.755951176748264,87.22098590599501,2.0230629172567265
8,Netherlands,10866,"+1,104",771.0,+132,250.0,9845,972.0,634.0,45.0,Feb 26,17135000.0,52.132633,5.291266,0.0634140647796907,2.300754647524388,90.60371801951041,7.095527332965212
9,Belgium,10836,"+1,702",431.0,+78,1359.0,9046,867.0,935.0,37.0,Feb 03,11590000.0,50.503887,4.469936,0.09349439171699742,12.541528239202657,83.48098929494279,3.9774824658545587
10,S. Korea,9583,+105,152.0,+8,5033.0,4398,59.0,187.0,3.0,Jan 19,25779000.0,40.339852,127.510093,0.037173668489856086,52.52008765522279,45.893770218094545,1.5861421266826672
11,Turkey,9217,"+1,815",131.0,+23,105.0,8981,568.0,109.0,2.0,Mar 09,84339000.0,38.963745,35.243322,0.010928514684784027,1.1391993056308993,97.4395139416296,1.421286752739503
12,Austria,8711,+440,86.0,+18,479.0,8146,187.0,967.0,10.0,Feb 24,9006000.0,47.516231,14.550072,0.09672440595158782,5.498794627482494,93.51394788198829,0.987257490529216
13,Canada,6243,+588,63.0,+3,508.0,5672,120.0,165.0,2.0,Jan 24,37742000.0,56.130366,-106.34677099999999,0.016541253775634573,8.137113567195259,90.85375620695179,1.0091302258529553
14,Portugal,5962,+792,119.0,+19,43.0,5800,89.0,585.0,12.0,Mar 01,10197000.0,39.399871999999995,-8.224454,0.058468176914778854,0.7212344850721235,97.28279100972827,1.9959745051995974
15,Norway,4245,+230,25.0,+2,7.0,4213,91.0,783.0,5.0,Feb 25,5421000.0,60.472024,8.468946,0.0783065855008301,0.16489988221436985,99.24617196702002,0.5889281507656066
16,Brazil,4065,+161,118.0,+4,6.0,3941,296.0,19.0,0.6,Feb 24,212559000.0,-14.235004,-51.92528,0.0019124102014029046,0.14760147601476015,96.94956949569496,2.9028290282902827
17,Australia,3980,+345,16.0,+2,226.0,3738,23.0,156.0,0.6,Jan 24,25500000.0,-25.274398,133.775136,0.015607843137254902,5.678391959798995,93.91959798994975,0.4020100502512563
18,Israel,3865,+246,15.0,+3,89.0,3761,66.0,447.0,2.0,Feb 20,8656000.0,31.046051000000002,34.851612,0.04465110905730129,2.3027166882276844,97.30918499353169,0.38809831824062097
19,Sweden,3700,+253,110.0,+5,16.0,3574,255.0,366.0,11.0,Jan 30,10099000.0,60.128161,18.643501,0.03663729082087335,0.43243243243243246,96.5945945945946,2.9729729729729732
